Wall time,Step,Value
1669809645.4267774,0,0.046976350247859955
1669810275.0181973,1,0.1650550812482834
1669810900.9469101,2,0.2281249761581421
1669811524.9990616,3,0.3011176288127899
1669812145.5728557,4,0.3738533556461334
1669812771.746154,5,0.45775139331817627
1669813387.6928818,6,0.5355884432792664
1669814014.5658836,7,0.6057363748550415
1669814639.5750616,8,0.6726212501525879
1669815271.1412876,9,0.7175227403640747
1669815903.8526514,10,0.7521947622299194
1669816534.0626032,11,0.7801371216773987
1669817170.4544873,12,0.8007658123970032
1669817801.7680936,13,0.8139838576316833
1669818436.2475219,14,0.8280630707740784
1669819064.5049953,15,0.8374279141426086
1669819679.8888104,16,0.8424683213233948
1669820298.7521966,17,0.8498184084892273
1669820935.3103695,18,0.8568339943885803
1669821563.9234552,19,0.8603107929229736
1669822192.995306,20,0.8617073893547058
1669822821.955212,21,0.8700157999992371
1669823445.3880074,22,0.8729448318481445
1669824082.087127,23,0.8761536478996277
1669824713.0740714,24,0.8792198300361633
1669825344.298527,25,0.8860421776771545
1669825973.3202176,26,0.8881308436393738
1669826607.8760695,27,0.8874226212501526
1669827226.7156034,28,0.8881160616874695
1669827863.8516266,29,0.8910000324249268
1669828500.6819646,30,0.8918060064315796
1669829131.1427681,31,0.8912156820297241
1669829764.2395778,32,0.8946064710617065
1669830390.6994467,33,0.8996044397354126
1669831019.2743018,34,0.9010376930236816
1669831655.683248,35,0.9031544327735901
1669832292.219859,36,0.9045930504798889
1669832921.0902932,37,0.9090132117271423
1669833557.415845,38,0.9064883589744568
1669834178.6532586,39,0.9065114259719849
1669834815.589959,40,0.9088287949562073
1669835448.072507,41,0.9095920920372009
1669836081.0180347,42,0.9105026721954346
1669836718.3779004,43,0.9114006161689758
1669837347.003382,44,0.9142335653305054
1669837985.494424,45,0.9182899594306946
1669838610.5464413,46,0.9206307530403137
1669839236.3886137,47,0.9194150567054749
1669839870.6691272,48,0.9179720282554626
1669840505.591137,49,0.9171990156173706
1669841127.6171064,50,0.9223642349243164
1669841758.1550336,51,0.9219597578048706
1669842405.1069279,52,0.924264132976532
1669843036.0197906,53,0.9221293330192566
1669843677.4717731,54,0.9278953671455383
1669844317.505575,55,0.9259105324745178
1669844940.0065506,56,0.9248822331428528
1669845578.2339504,57,0.9291579723358154
1669846264.7816005,58,0.9258493781089783
1669846920.6701443,59,0.9292522668838501
1669847555.8114522,60,0.9310324192047119
1669848196.795993,61,0.9310542941093445
1669848840.8480167,62,0.9316009283065796
1669849472.5425851,63,0.9308687448501587
1669850110.7951598,64,0.9338932633399963
1669850740.7207263,65,0.9345650672912598
1669851385.5257132,66,0.934485137462616
1669852032.2611349,67,0.9327957630157471
1669852668.4077678,68,0.9355215430259705
1669853307.7484207,69,0.9378241896629333
1669853954.6865,70,0.9385214447975159
1669854604.3767557,71,0.9364719390869141
1669855249.576219,72,0.9399930834770203
1669855886.158407,73,0.9381124973297119
1669856528.774202,74,0.9384766221046448
1669857173.7211907,75,0.9406488537788391
1669857801.029593,76,0.939042866230011
1669858443.3069258,77,0.9403222799301147
1669859084.1582158,78,0.9433008432388306
1669859715.0083575,79,0.9416298866271973
1669860352.9095984,80,0.9448750019073486
1669860996.2123291,81,0.9433507919311523
1669861635.3869507,82,0.9465415477752686
1669862281.0778039,83,0.9436865448951721
1669862927.6543515,84,0.9450357556343079
1669863568.696857,85,0.9453338384628296
1669864208.5862813,86,0.9466577768325806
1669864839.4372847,87,0.9460410475730896
1669865489.4831119,88,0.9464200735092163
1669866125.9495122,89,0.9465668201446533
1669866770.1260307,90,0.9445303082466125
1669867411.2735703,91,0.9454811215400696
1669868048.0518792,92,0.9453124403953552
1669868684.7339048,93,0.9470812678337097
1669869317.4598532,94,0.9472718834877014
1669869952.9674826,95,0.951312780380249
1669870594.88841,96,0.9476059079170227
1669871241.2532647,97,0.9501920342445374
1669871880.1033163,98,0.9488663077354431
1669872523.8909914,99,0.950308084487915
1669873169.593976,100,0.9515803456306458
1669873807.6011965,101,0.9503999352455139
1669874450.5505912,102,0.9517295956611633
1669875096.519043,103,0.9536028504371643
1669875745.8412647,104,0.9536441564559937
1669876395.6688762,105,0.9538701772689819
1669877030.1485846,106,0.9534634351730347
1669877675.7260134,107,0.9508237838745117
1669878311.248074,108,0.9515952467918396
