Wall time,Step,Value
1669546570.2711527,0,-0.49800795316696167
1669547177.5069568,1,-0.6108094453811646
1669547770.3581457,2,-0.6463148593902588
1669548394.2087698,3,-0.6680880784988403
1669549008.1206524,4,-0.6817921996116638
1669549586.744529,5,-0.6932689547538757
1669550195.04085,6,-0.7035631537437439
1669550793.562611,7,-0.7131847739219666
1669551389.7744567,8,-0.7209538221359253
1669551983.9747474,9,-0.7264935970306396
1669552572.9271085,10,-0.7306631803512573
1669553214.6581488,11,-0.7366844415664673
1669553835.3854022,12,-0.7409583926200867
1669554434.0668259,13,-0.7434229850769043
1669555051.3611183,14,-0.7469398975372314
1669555654.4717534,15,-0.7517902255058289
1669556240.5141363,16,-0.7562423348426819
1669556856.6863596,17,-0.7572968006134033
1669557477.144819,18,-0.7600197196006775
1669558084.9445221,19,-0.7634841203689575
1669558704.4241345,20,-0.768767237663269
1669559314.6546876,21,-0.7678551077842712
1669559941.955684,22,-0.7707550525665283
1669560562.24251,23,-0.7748619318008423
1669561143.2337284,24,-0.7773074507713318
1669561728.614631,25,-0.7764135599136353
1669562301.0480053,26,-0.780936598777771
1669562881.4292016,27,-0.7815763354301453
1669563459.6997614,28,-0.7817409634590149
1669564034.3063364,29,-0.7834274768829346
1669564604.9248106,30,-0.7877525091171265
1669565173.8937593,31,-0.7863277792930603
1669565748.6129189,32,-0.7889877557754517
1669566314.0722013,33,-0.7911461591720581
1669566898.5313785,34,-0.7918837666511536
1669567487.1850915,35,-0.7938070297241211
1669568071.29678,36,-0.7947772145271301
1669568662.3390157,37,-0.795869767665863
1669569249.9356127,38,-0.7978156805038452
1669569838.7424679,39,-0.7988412380218506
1669570418.2956214,40,-0.7987513542175293
1669570991.9957085,41,-0.7988454699516296
1669571568.3077278,42,-0.8016919493675232
1669572145.829058,43,-0.8026502132415771
1669572730.0231493,44,-0.8031134009361267
1669573301.1964974,45,-0.8046083450317383
1669573878.9745235,46,-0.8054599761962891
1669574457.9861186,47,-0.8065623641014099
1669575036.8239684,48,-0.8078016042709351
1669575609.0783777,49,-0.8075898885726929
1669576186.234124,50,-0.8082485198974609
1669576763.885953,51,-0.809558093547821
1669577345.7788553,52,-0.8107140064239502
1669577940.161144,53,-0.8109476566314697
1669578532.5092857,54,-0.8127081990242004
1669579111.490271,55,-0.8127010464668274
1669579688.2255385,56,-0.8148049116134644
1669580262.9308836,57,-0.8132283687591553
1669580841.1448216,58,-0.8142995834350586
1669581423.3508832,59,-0.8128976225852966
1669582002.4596958,60,-0.8171942234039307
1669582577.4642143,61,-0.81757652759552
1669583153.086238,62,-0.817277193069458
1669583731.8551888,63,-0.8180156350135803
1669584315.4706423,64,-0.8189772963523865
1669584897.768225,65,-0.8194006681442261
1669585478.7378953,66,-0.8191327452659607
1669586061.5418866,67,-0.8209909796714783
1669586640.7025216,68,-0.817778468132019
1669587219.4167237,69,-0.821024477481842
1669587796.048769,70,-0.8223382234573364
1669588371.943046,71,-0.8227630853652954
1669588946.0753539,72,-0.8218775391578674
1669589539.421534,73,-0.8236251473426819
1669590131.2208192,74,-0.8247474431991577
1669590695.0786095,75,-0.8239386081695557
1669591277.3014436,76,-0.8243505954742432
1669591851.049714,77,-0.8261502981185913
1669592429.920866,78,-0.8259593844413757
1669593007.8794327,79,-0.8268094062805176
1669593583.6715262,80,-0.8271745443344116
1669594142.7951736,81,-0.8278545141220093
1669594730.2775033,82,-0.8284966945648193
1669595301.3332508,83,-0.8276669383049011
1669595875.6209161,84,-0.8290044069290161
1669596448.1958423,85,-0.829867959022522
1669597018.0624433,86,-0.8306257724761963
1669597592.6295626,87,-0.8292029500007629
1669598160.8400416,88,-0.8302571177482605
1669598734.18389,89,-0.8316887617111206
1669599310.118985,90,-0.8317742943763733
1669599890.9497826,91,-0.8325440883636475
1669600472.8534575,92,-0.8333700895309448
1669601046.236299,93,-0.8326770067214966
1669601611.1899476,94,-0.8328843712806702
1669602174.426422,95,-0.8328554630279541
1669602753.0043023,96,-0.8332406878471375
