Wall time,Step,Value
1668694255.9102168,0,0.9412232041358948
1668695055.0422378,1,0.9350070357322693
1668695854.89809,2,0.911919116973877
1668696640.2397053,3,0.8804842829704285
1668697455.1853614,4,0.8555414080619812
1668698256.352032,5,0.8382554650306702
1668699077.008173,6,0.8336549401283264
1668699872.939024,7,0.8342176079750061
1668700697.1883683,8,0.8365156650543213
1668701500.3862426,9,0.8347025513648987
1668702324.04033,10,0.8384186029434204
1668703128.7856593,11,0.8405579328536987
1668703945.9960063,12,0.8437960147857666
1668704759.3874803,13,0.8443925976753235
1668705565.3897045,14,0.8456342816352844
1668706382.7946982,15,0.8490893840789795
1668707199.1760757,16,0.8511824011802673
1668708005.9888191,17,0.8536819219589233
1668708813.1568072,18,0.8553740382194519
1668709651.7188146,19,0.8566046357154846
1668710480.8928607,20,0.8577011227607727
1668711304.8663576,21,0.858947217464447
1668712135.3096263,22,0.8610014319419861
1668712951.585384,23,0.862334668636322
1668713770.9785933,24,0.8620228171348572
1668714600.3926842,25,0.8652278184890747
1668715427.4002614,26,0.8650268316268921
1668716270.9348495,27,0.8659833669662476
1668717099.071118,28,0.8670544028282166
1668717918.342001,29,0.8685352206230164
1668718754.5474014,30,0.8689936995506287
1668719578.807876,31,0.8689697980880737
1668720392.5059528,32,0.8699722290039062
1668721221.4357588,33,0.8720530867576599
1668722034.0574286,34,0.8699036240577698
1668722865.1419125,35,0.8725576996803284
1668723687.053652,36,0.8735643625259399
1668724504.469029,37,0.8737041354179382
1668725334.2505817,38,0.8735482692718506
1668726170.3814137,39,0.8751019239425659
1668726963.2289252,40,0.8749765753746033
1668727706.9502115,41,0.8753325939178467
1668728452.657491,42,0.8764959573745728
1668729192.3438966,43,0.8784852623939514
1668729931.8186808,44,0.8783790469169617
1668730689.4360118,45,0.8777567148208618
1668731506.4964612,46,0.8786957859992981
1668732341.6401646,47,0.8797327876091003
1668733172.564807,48,0.8798807263374329
1668733988.0247111,49,0.8801376223564148
1668734814.3110108,50,0.8801079392433167
1668735661.0486937,51,0.8803742527961731
1668736490.2462108,52,0.8816604614257812
1668737342.0935855,53,0.8820024132728577
1668738183.6642919,54,0.882839024066925
1668739017.3782372,55,0.8828362226486206
1668739849.0764072,56,0.8829509019851685
1668740684.254474,57,0.8843486905097961
1668741525.706784,58,0.8833230137825012
1668742325.2495658,59,0.8851866126060486
1668743063.0336943,60,0.8844677209854126
1668743809.2011218,61,0.8856117129325867
1668744552.8861227,62,0.8855549097061157
1668745307.9334362,63,0.8859228491783142
1668746080.5281186,64,0.8858144879341125
1668746922.0542774,65,0.886745810508728
1668747762.3098488,66,0.8871261477470398
1668748615.6722434,67,0.8876067996025085
1668749464.4143956,68,0.8878123164176941
1668750316.513411,69,0.8878679871559143
1668751169.5632958,70,0.8886890411376953
1668752013.8123276,71,0.88825523853302
1668752857.314029,72,0.888450026512146
1668753683.5141065,73,0.8880428075790405
1668754533.7503102,74,0.8891021609306335
1668755384.903024,75,0.8891280293464661
1668756220.872062,76,0.8884855508804321
1668757059.5842645,77,0.8899121284484863
1668757900.0704927,78,0.8896111249923706
1668758744.9729798,79,0.8899948000907898
1668759584.8400393,80,0.8901230096817017
1668760318.585492,81,0.8909305930137634
1668761061.4668522,82,0.8905845880508423
1668761803.885502,83,0.8900896906852722
1668762553.0776355,84,0.8909198045730591
1668763303.7218971,85,0.8911034464836121
1668764054.889589,86,0.8908600211143494
1668764882.5558345,87,0.8918737769126892
1668765728.6095607,88,0.8913680911064148
1668766564.5092344,89,0.8919510841369629
1668767318.2766356,90,0.8919404149055481
1668768063.322034,91,0.8921566009521484
1668768808.7701273,92,0.8919467926025391
1668769553.064903,93,0.8929867148399353
1668770298.6655245,94,0.8931955695152283
1668771074.9867322,95,0.8921388983726501
1668771917.284363,96,0.8925508856773376
1668772750.8514328,97,0.8929405212402344
1668773586.730284,98,0.8933969736099243
1668774446.052682,99,0.8932316899299622
