Wall time,Step,Value
1668694255.9102032,0,0.09683982282876968
1668695055.0422244,1,0.3581257164478302
1668695854.8980746,2,0.5486369132995605
1668696640.2396927,3,0.7046926617622375
1668697455.1853356,4,0.7971274256706238
1668698256.352007,5,0.8490152955055237
1668699077.0081604,6,0.8755596876144409
1668699872.9390104,7,0.8904367089271545
1668700697.1883545,8,0.9025287628173828
1668701500.3862288,9,0.9105187058448792
1668702324.0403044,10,0.91480553150177
1668703128.7856464,11,0.9195092916488647
1668703945.995994,12,0.9240682721138
1668704759.387467,13,0.9270874857902527
1668705565.3896914,14,0.9305419325828552
1668706382.7946854,15,0.932887613773346
1668707199.176063,16,0.9346714019775391
1668708005.9888043,17,0.9372156858444214
1668708813.1567736,18,0.9394185543060303
1668709651.7188013,19,0.9403561353683472
1668710480.8928473,20,0.9406936764717102
1668711304.8663445,21,0.9430773854255676
1668712135.309587,22,0.9431036710739136
1668712951.5853655,23,0.9456111192703247
1668713770.9785807,24,0.9458357691764832
1668714600.3926706,25,0.9479645490646362
1668715427.4002488,26,0.9477629661560059
1668716270.9348242,27,0.948729395866394
1668717099.0711052,28,0.949226438999176
1668717918.3419883,29,0.9506894946098328
1668718754.5473764,30,0.9527369737625122
1668719578.8078635,31,0.9518633484840393
1668720392.505928,32,0.9527473449707031
1668721221.4357462,33,0.9535106420516968
1668722034.0574155,34,0.9528303742408752
1668722865.141887,35,0.9550979137420654
1668723687.0536394,36,0.9560036063194275
1668724504.4690158,37,0.9561362266540527
1668725334.2505577,38,0.9562680125236511
1668726170.3814003,39,0.9576905965805054
1668726963.2289128,40,0.9566271305084229
1668727706.950198,41,0.9577780365943909
1668728452.6574774,42,0.9594458937644958
1668729192.3438842,43,0.9591707587242126
1668729931.818668,44,0.9591683149337769
1668730689.4359987,45,0.9597463607788086
1668731506.4964483,46,0.9606553316116333
1668732341.640152,47,0.9610924124717712
1668733172.5647922,48,0.9605462551116943
1668733988.0246983,49,0.9613975882530212
1668734814.3109984,50,0.9616072177886963
1668735661.0486813,51,0.9619054794311523
1668736490.2461975,52,0.9627465605735779
1668737342.0935724,53,0.9622171521186829
1668738183.664279,54,0.9636187553405762
1668739017.378224,55,0.9635436534881592
1668739849.0763946,56,0.9637650847434998
1668740684.2544608,57,0.9643582701683044
1668741525.7067711,58,0.964674711227417
1668742325.2495527,59,0.9648157954216003
1668743063.0336804,60,0.9649425148963928
1668743809.2011087,61,0.9649415612220764
1668744552.8861103,62,0.9653381705284119
1668745307.9334242,63,0.9659740924835205
1668746080.528106,64,0.9667097926139832
1668746922.0542638,65,0.9659254550933838
1668747762.3098323,66,0.9662067294120789
1668748615.6722305,67,0.9665597081184387
1668749464.4143836,68,0.9672267436981201
1668750316.5133984,69,0.9674349427223206
1668751169.5632794,70,0.9676758050918579
1668752013.8123155,71,0.9678371548652649
1668752857.3140166,72,0.9677844047546387
1668753683.5140939,73,0.9678115844726562
1668754533.7502978,74,0.9685986042022705
1668755384.9030113,75,0.9683287143707275
1668756220.872049,76,0.9680529832839966
1668757059.58425,77,0.9689476490020752
1668757900.07048,78,0.9692926406860352
1668758744.9729671,79,0.9698588252067566
1668759584.8400264,80,0.9694794416427612
1668760318.5854793,81,0.9699423313140869
1668761061.4668398,82,0.9701316356658936
1668761803.885489,83,0.9700453281402588
1668762553.0776215,84,0.9701624512672424
1668763303.7218843,85,0.9705880880355835
1668764054.8895621,86,0.9706360101699829
1668764882.5558217,87,0.9704498052597046
1668765728.6095483,88,0.9708201885223389
1668766564.5092182,89,0.9711579084396362
1668767318.2766223,90,0.9712432026863098
1668768063.3220208,91,0.9708849787712097
1668768808.7701147,92,0.9712613224983215
1668769553.0648897,93,0.9717195630073547
1668770298.665512,94,0.971306562423706
1668771074.9867194,95,0.9719362258911133
1668771917.2843368,96,0.9717360138893127
1668772750.85142,97,0.9717906713485718
1668773586.7302723,98,0.9721255302429199
1668774446.0526688,99,0.9726285338401794
